ID	Class Number	Class Name	Professor	Description
77684	CSE 100	Principles of Programming with C++	Burger	"Principles of problem solving using C++, algorithm design, structured programming, fundamental algorithms and techniques, and computer systems concepts. Social and ethical responsibility."	
82279	CSE 100	Principles of Programming with C++	"Dougherty, Hossain, Pal"	"Principles of problem solving using C++, algorithm design, structured programming, fundamental algorithms and techniques, and computer systems concepts. Social and ethical responsibility."	
84956	CSE 100	Principles of Programming with C++	Tadayon-Navabi	"Principles of problem solving using C++, algorithm design, structured programming, fundamental algorithms and techniques, and computer systems concepts. Social and ethical responsibility."	
84789	CSE 110	Principles of Programming	Baron	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
77700	CSE 110	Principles of Programming	Baron	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
77711	CSE 110	Principles of Programming	Tadayon-Navabi	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
77722	CSE 110	Principles of Programming	Baron	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
79261	CSE 110	Principles of Programming	Tadayon-Navabi	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
79429	CSE 110	Principles of Programming	Khaliqi	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
89033	CSE 110	Principles of Programming	Kobayashi	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
93511	CSE 110	Principles of Programming	Miller	"Concepts of problem solving using an object-oriented programming language, algorithm design, structured programming, fundamental algorithms and techniques."	
70690	CSE 120	Digital Design Fundamentals	Hartin	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
70691	CSE 120	Digital Design Fundamentals	Maurer	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
70692	CSE 120	Digital Design Fundamentals	Matar	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
70693	CSE 120	Digital Design Fundamentals	Goryll	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
76298	CSE 120	Digital Design Fundamentals	Chickamenahalli	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
78309	CSE 120	Digital Design Fundamentals	Matar	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
79861	CSE 120	Digital Design Fundamentals	Maurer	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
85611	CSE 120	Digital Design Fundamentals	Chickamenahalli	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
85617	CSE 120	Digital Design Fundamentals	Matar	"Number systems, conversion methods, binary and complement arithmetic, Boolean algebra, circuit minimization, ROMs, PLAs, flipflops, synchronous sequential circuits."	
70694	CSE 180	Computer Literacy	Chung	Students gain fluency in integrating technology to efficiently and effectively solve problems using computational thinking.	
94400	CSE 194	Special Topics	Baron	Covers topics of immediate or special interest to a faculty member and students.	
84863	CSE 205	Object-Oriented Programming and Data Structures	Balasooriya	Problem solving by programming with an object-oriented programming language. Introduces data structures. Overview of computer science topics.	
70695	CSE 205	Object-Oriented Programming and Data Structures	Feng	Problem solving by programming with an object-oriented programming language. Introduces data structures. Overview of computer science topics.	
73825	CSE 205	Object-Oriented Programming and Data Structures	Das	Problem solving by programming with an object-oriented programming language. Introduces data structures. Overview of computer science topics.	
84115	CSE 205	Object-Oriented Programming and Data Structures	Chakati	Problem solving by programming with an object-oriented programming language. Introduces data structures. Overview of computer science topics.	
70696	CSE 220	"Programming for Computer Engineering Introduction to C/C++, systems programming, and concurrency."	Selgrad	"Introduction to C/C++, systems programming, and concurrency."	
70697	CSE 230	Computer Organization and Assembly Language Programming	Nakamura	Register-level computer organization. Instruction set architecture. Assembly language. Processor organization and design. Memory organization. IO programming. Exception/interrupt handling.	
84864	CSE 230	Computer Organization and Assembly Language Programming	Mar	Register-level computer organization. Instruction set architecture. Assembly language. Processor organization and design. Memory organization. IO programming. Exception/interrupt handling.	
70699	CSE 230	Computer Organization and Assembly Language Programming	Nakamura	Register-level computer organization. Instruction set architecture. Assembly language. Processor organization and design. Memory organization. IO programming. Exception/interrupt handling.	
74300	CSE 230	Computer Organization and Assembly Language Programming	Calliss	Register-level computer organization. Instruction set architecture. Assembly language. Processor organization and design. Memory organization. IO programming. Exception/interrupt handling.	
84865	CSE 240	Introduction to Programming Languages	Gonzalez Sanchez	"Introduces the procedural (C/C++/Python), applicative (LISP/Scheme) and declarative (Prolog) languages."	
75416	CSE 240	Introduction to Programming Languages	Chen	"Introduces the procedural (C/C++/Python), applicative (LISP/Scheme) and declarative (Prolog) languages."	
89045	CSE 240	Introduction to Programming Languages	Chen	"Introduces the procedural (C/C++/Python), applicative (LISP/Scheme) and declarative (Prolog) languages."	
84983	CSE 259	Logic in Computer Science	Lee	"Logic has been called the calculus of computer science. The argument is that logic plays a fundamental role in computer science, similar to that played by calculus in physical sciences and other engineering disciplines. Indeed, logic plays an important role in computer architecture (Boolean logic, digital gates, hardware verification); software engineering (specification, verification); programming languages (semantics, type theory, logic programming); databases (relational algebra, database query language); artificial intelligence (automated theorem proving, knowledge representation); algorithms and theory of computation (complexity, computability, expressiveness). This course is a mathematically solid introduction to propositional logic, first order logic, logic programming, and their applications in computer science."	
